combo,sample,n_nodes,MAE
hybrid_none,sample_179,330,3.667
hybrid_none,sample_150,63,3.615
hybrid_none,sample_42,282,3.363
hybrid_none,sample_118,604,3.197
hybrid_none,sample_132,133,3.069
hybrid_none,sample_178,145,2.927
hybrid_none,sample_53,71,2.901
hybrid_self_loop,sample_240,657,12.407
hybrid_self_loop,sample_151,298,8.406
hybrid_self_loop,sample_189,292,7.397
hybrid_self_loop,sample_233,439,7.369
hybrid_self_loop,sample_208,189,7.253
hybrid_self_loop,sample_10,272,6.996
hybrid_self_loop,sample_73,70,6.675
hybrid_self_loop,sample_243,365,6.579
hybrid_self_loop,sample_111,176,6.274
hybrid_self_loop,sample_195,187,6.263
hybrid_self_loop,sample_6,230,5.952
hybrid_self_loop,sample_142,58,5.61
hybrid_self_loop,sample_182,232,5.466
hybrid_self_loop,sample_235,181,5.416
hybrid_self_loop,sample_86,128,5.358
hybrid_self_loop,sample_146,141,5.112
hybrid_self_loop,sample_92,164,5.085
hybrid_self_loop,sample_166,84,4.941
hybrid_self_loop,sample_117,158,4.939
hybrid_self_loop,sample_191,163,4.939
hybrid_self_loop,sample_203,410,4.884
hybrid_self_loop,sample_163,29,4.676
hybrid_self_loop,sample_215,53,4.641
hybrid_self_loop,sample_4,92,4.483
hybrid_self_loop,sample_251,355,4.468
hybrid_self_loop,sample_99,233,4.435
hybrid_self_loop,sample_216,257,4.415
hybrid_self_loop,sample_39,292,4.367
hybrid_self_loop,sample_31,156,4.252
hybrid_self_loop,sample_52,119,3.956
hybrid_self_loop,sample_53,71,3.776
hybrid_self_loop,sample_192,150,3.763
hybrid_self_loop,sample_179,330,3.636
hybrid_self_loop,sample_42,282,3.354
hybrid_self_loop,sample_150,63,3.235
hybrid_self_loop,sample_118,604,2.86
hybrid_self_loop,sample_132,133,2.74
hybrid_self_loop,sample_63,23,2.475
hybrid_self_loop,sample_178,145,2.329
hybrid_knn,sample_240,657,12.733
hybrid_knn,sample_151,298,8.602
hybrid_knn,sample_233,439,7.68
hybrid_knn,sample_189,292,7.411
hybrid_knn,sample_208,189,7.173
hybrid_knn,sample_10,272,7.149
hybrid_knn,sample_86,128,6.865
hybrid_knn,sample_195,187,6.764
hybrid_knn,sample_243,365,6.662
hybrid_knn,sample_73,70,6.416
hybrid_knn,sample_182,232,6.233
hybrid_knn,sample_111,176,6.093
hybrid_knn,sample_6,230,6.009
hybrid_knn,sample_117,158,5.514
hybrid_knn,sample_235,181,5.303
hybrid_knn,sample_142,58,5.219
hybrid_knn,sample_191,163,4.859
hybrid_knn,sample_146,141,4.839
hybrid_knn,sample_92,164,4.773
hybrid_knn,sample_52,119,4.689
hybrid_knn,sample_192,150,4.647
hybrid_knn,sample_166,84,4.636
hybrid_knn,sample_203,410,4.559
hybrid_knn,sample_99,233,4.53
hybrid_knn,sample_216,257,4.413
hybrid_knn,sample_251,355,4.382
hybrid_knn,sample_31,156,4.375
hybrid_knn,sample_4,92,4.358
hybrid_knn,sample_39,292,4.317
hybrid_knn,sample_215,53,4.181
hybrid_knn,sample_163,29,4.178
hybrid_knn,sample_179,330,3.794
hybrid_knn,sample_42,282,3.549
hybrid_knn,sample_118,604,3.366
hybrid_knn,sample_53,71,3.323
hybrid_knn,sample_63,23,3.076
hybrid_knn,sample_150,63,2.646
hybrid_knn,sample_178,145,2.39
hybrid_knn,sample_132,133,2.276
