split,sample,node_type,node_idx,true_b,true_h,pred_b_HGT,pred_h_HGT,pred_b_HAN,pred_h_HAN
external_test,sample_9,beam,60,10.0,10.0,35.914119720458984,28.760692596435547,32.821876525878906,27.04509162902832
external_test,sample_9,beam,61,10.0,10.0,36.02632522583008,28.77670288085937,32.35392761230469,26.365501403808597
train_pool,sample_191,beam,84,5.0,5.0,42.440673828125,32.07958984375,40.929725646972656,29.95391082763672
train_pool,sample_191,beam,85,5.0,5.0,42.43565368652344,32.059322357177734,40.4853401184082,29.69635581970215
train_pool,sample_191,beam,86,5.0,5.0,42.4233283996582,32.0543212890625,40.28082656860352,29.643707275390625
train_pool,sample_191,beam,87,5.0,5.0,42.37176132202149,32.044281005859375,40.13917541503906,29.651180267333984
train_pool,sample_191,beam,88,5.0,5.0,42.3119010925293,32.08165740966797,39.91742706298828,29.595970153808597
train_pool,sample_191,beam,89,5.0,5.0,38.809120178222656,30.60085678100586,37.16241455078125,34.19012451171875
train_pool,sample_191,beam,90,5.0,5.0,38.6515998840332,30.53934097290039,36.34315872192383,30.98902702331543
train_pool,sample_191,beam,91,5.0,5.0,38.53321075439453,30.53866195678711,36.1050910949707,29.97319602966309
train_pool,sample_191,beam,92,5.0,5.0,38.4647216796875,30.514389038085938,35.74149703979492,29.013071060180664
train_pool,sample_191,beam,93,5.0,5.0,38.38872528076172,30.546146392822266,35.49287414550781,28.59363555908203
train_pool,sample_192,beam,11,5.0,5.0,38.35227966308594,31.276933670043945,36.27603149414063,28.446931838989254
train_pool,sample_31,beam,81,10.0,10.0,43.181758880615234,32.13585662841797,42.28070831298828,31.246150970458984
train_pool,sample_31,beam,82,10.0,10.0,42.23844528198242,31.4949951171875,42.52177047729492,31.267105102539062
train_pool,sample_31,beam,83,10.0,10.0,42.931732177734375,31.96704864501953,42.51295471191406,31.32859230041504
train_pool,sample_31,beam,84,10.0,10.0,43.17691040039063,32.12974166870117,42.51351547241211,31.375532150268555
train_pool,sample_39,beam,0,10.0,10.0,36.41350555419922,29.451290130615234,34.01841735839844,27.120655059814453
train_pool,sample_39,beam,1,10.0,10.0,37.12487030029297,29.8597354888916,33.359130859375,26.907665252685547
train_pool,sample_39,beam,2,10.0,10.0,55.013816833496094,48.19958114624024,52.74288177490234,46.19106674194336
train_pool,sample_39,beam,3,10.0,10.0,54.53812789916992,47.74710464477539,52.60059356689453,46.06539916992188
train_pool,sample_39,beam,6,10.0,10.0,37.02521514892578,29.773361206054688,33.61517333984375,26.980892181396484
train_pool,sample_39,beam,7,10.0,10.0,36.84022903442383,29.66130828857422,33.82892227172852,27.04117774963379
train_pool,sample_39,beam,11,10.0,10.0,36.60845947265625,29.53166007995605,33.897125244140625,27.06043815612793
train_pool,sample_6,beam,0,10.0,10.0,38.30580520629883,30.027099609375,36.80392074584961,28.70233917236328
train_pool,sample_6,beam,1,10.0,10.0,38.59645462036133,30.205455780029297,36.49602508544922,28.5927734375
train_pool,sample_6,beam,2,10.0,10.0,38.42481994628906,30.09520721435547,36.672489166259766,28.65631866455078
train_pool,sample_6,beam,3,10.0,10.0,37.478294372558594,29.735280990600582,34.17506790161133,26.43372344970703
train_pool,sample_6,beam,98,10.0,10.0,36.41005706787109,29.504608154296875,37.98434066772461,29.788593292236328
train_pool,sample_6,beam,99,10.0,10.0,37.08316040039063,29.86454391479492,36.92662811279297,29.14254570007324
train_pool,sample_6,beam,100,10.0,10.0,36.84721755981445,29.75173568725586,37.139678955078125,29.27647399902344
train_pool,sample_6,beam,101,10.0,10.0,36.67326736450195,29.664203643798828,37.38264465332031,29.43355941772461
train_pool,sample_6,beam,102,10.0,10.0,36.54376220703125,29.59225845336914,37.6877326965332,29.61678695678711
train_pool,sample_6,beam,143,10.0,10.0,37.73418045043945,29.99407958984375,30.422365188598636,24.68852424621582
train_pool,sample_6,beam,144,10.0,10.0,38.85717391967773,30.97879981994629,29.725215911865234,24.54170227050781
train_pool,sample_6,beam,145,10.0,10.0,38.61764526367188,30.59754180908203,29.708765029907227,24.346759796142575
train_pool,sample_6,beam,146,10.0,10.0,38.34728240966797,30.34256362915039,29.882776260375977,24.403409957885746
train_pool,sample_6,beam,147,10.0,10.0,37.97124862670898,30.08617401123047,30.187862396240234,24.58384132385254
train_pool,sample_6,beam,148,10.0,10.0,37.56416702270508,29.763450622558597,33.41005325317383,26.20025062561035
train_pool,sample_6,beam,149,10.0,10.0,38.53467178344727,30.265893936157227,32.502532958984375,25.93909072875977
train_pool,sample_6,beam,150,10.0,10.0,38.280059814453125,30.13587951660156,32.83485412597656,25.995569229125977
train_pool,sample_6,beam,151,10.0,10.0,38.07709884643555,30.04491424560547,33.08423614501953,26.11062812805176
train_pool,sample_6,beam,152,10.0,10.0,37.84092712402344,29.928260803222656,33.23478698730469,26.14536666870117
train_pool,sample_6,beam,153,10.0,10.0,38.84215545654297,30.223915100097656,36.32619094848633,28.42534637451172
train_pool,sample_6,beam,154,10.0,10.0,41.933067321777344,36.65201187133789,38.060791015625,30.154232025146484
train_pool,sample_6,beam,155,10.0,10.0,39.735130310058594,33.686519622802734,33.326271057128906,26.92826461791992
train_pool,sample_6,beam,156,10.0,10.0,42.0775032043457,36.02665328979492,38.63507843017578,30.43158721923828
train_pool,sample_6,beam,157,10.0,10.0,41.98574447631836,36.44276428222656,38.0432243347168,30.03911590576172
