combo,sample,n_nodes,MAE
hybrid_self_loop,sample_233,439,7.131
hybrid_self_loop,sample_208,189,7.007
hybrid_self_loop,sample_10,272,6.855
hybrid_self_loop,sample_195,187,6.744
hybrid_self_loop,sample_243,365,6.602
hybrid_self_loop,sample_73,70,6.518
hybrid_self_loop,sample_111,176,6.145
hybrid_self_loop,sample_235,181,5.91
hybrid_self_loop,sample_86,128,5.832
hybrid_self_loop,sample_182,232,5.599
hybrid_self_loop,sample_142,58,5.419
hybrid_self_loop,sample_92,164,5.206
hybrid_self_loop,sample_146,141,4.917
hybrid_self_loop,sample_203,410,4.894
hybrid_self_loop,sample_117,158,4.86
hybrid_self_loop,sample_215,53,4.33
hybrid_self_loop,sample_163,29,4.328
hybrid_self_loop,sample_166,84,4.324
hybrid_self_loop,sample_251,355,4.307
hybrid_self_loop,sample_216,257,4.124
hybrid_self_loop,sample_99,233,4.107
hybrid_self_loop,sample_4,92,4.045
hybrid_self_loop,sample_192,149,3.963
hybrid_self_loop,sample_31,152,3.947
hybrid_self_loop,sample_52,119,3.773
hybrid_self_loop,sample_39,285,3.75
hybrid_self_loop,sample_179,330,3.706
hybrid_self_loop,sample_42,282,3.387
hybrid_self_loop,sample_53,71,3.374
hybrid_self_loop,sample_6,206,3.321
hybrid_self_loop,sample_191,153,3.278
hybrid_self_loop,sample_150,63,3.076
hybrid_self_loop,sample_118,604,2.807
hybrid_self_loop,sample_178,145,2.662
hybrid_self_loop,sample_63,23,2.652
hybrid_self_loop,sample_132,133,2.64
hybrid_knn,sample_240,657,12.424
hybrid_knn,sample_233,439,8.332
hybrid_knn,sample_151,298,8.287
hybrid_knn,sample_208,189,7.25
hybrid_knn,sample_189,292,7.181
hybrid_knn,sample_10,272,6.937
hybrid_knn,sample_243,365,6.672
hybrid_knn,sample_195,187,6.492
hybrid_knn,sample_73,70,6.249
hybrid_knn,sample_111,176,5.681
hybrid_knn,sample_142,58,5.526
hybrid_knn,sample_182,232,5.463
hybrid_knn,sample_235,181,5.388
hybrid_knn,sample_146,141,5.07
hybrid_knn,sample_86,128,5.062
hybrid_knn,sample_92,164,4.885
hybrid_knn,sample_215,53,4.727
hybrid_knn,sample_117,158,4.588
hybrid_knn,sample_203,410,4.586
hybrid_knn,sample_251,355,4.515
hybrid_knn,sample_192,149,4.197
hybrid_knn,sample_216,257,4.137
hybrid_knn,sample_4,92,4.063
hybrid_knn,sample_99,233,3.971
hybrid_knn,sample_166,84,3.898
hybrid_knn,sample_39,285,3.61
hybrid_knn,sample_52,119,3.59
hybrid_knn,sample_179,330,3.571
hybrid_knn,sample_6,206,3.485
hybrid_knn,sample_31,152,3.481
hybrid_knn,sample_53,71,3.388
hybrid_knn,sample_42,282,3.315
hybrid_knn,sample_163,29,3.236
hybrid_knn,sample_63,23,2.944
hybrid_knn,sample_150,63,2.869
hybrid_knn,sample_191,153,2.864
hybrid_knn,sample_118,604,2.856
hybrid_knn,sample_132,133,2.497
hybrid_knn,sample_178,145,2.214
