combo,sample,n_nodes,MAE
geometric_knn,sample_251,355,4.704
geometric_knn,sample_216,257,4.483
geometric_knn,sample_203,410,4.356
geometric_knn,sample_192,149,4.261
geometric_knn,sample_215,53,3.968
geometric_knn,sample_52,119,3.868
geometric_knn,sample_31,152,3.788
geometric_knn,sample_179,330,3.776
geometric_knn,sample_166,84,3.715
geometric_knn,sample_163,29,3.702
geometric_knn,sample_6,206,3.692
geometric_knn,sample_4,92,3.641
geometric_knn,sample_191,153,3.589
geometric_knn,sample_42,282,3.581
geometric_knn,sample_39,285,3.458
geometric_knn,sample_118,604,3.313
geometric_knn,sample_150,63,2.992
geometric_knn,sample_53,71,2.889
geometric_knn,sample_132,133,2.465
geometric_knn,sample_178,145,2.446
geometric_knn,sample_63,23,2.409
hybrid_none,sample_240,657,12.906
hybrid_none,sample_10,272,8.416
hybrid_none,sample_151,298,8.141
hybrid_none,sample_189,292,7.796
hybrid_none,sample_233,439,7.753
hybrid_none,sample_208,189,7.521
hybrid_none,sample_243,365,6.948
hybrid_none,sample_195,187,6.591
hybrid_none,sample_111,176,6.214
hybrid_none,sample_150,63,6.074
hybrid_none,sample_235,181,5.872
hybrid_none,sample_146,141,5.76
hybrid_none,sample_73,70,5.748
hybrid_none,sample_182,232,5.661
hybrid_none,sample_251,355,5.423
hybrid_none,sample_92,164,5.344
hybrid_none,sample_142,58,5.289
hybrid_none,sample_86,128,5.085
hybrid_none,sample_216,257,4.515
hybrid_none,sample_192,149,4.44
hybrid_none,sample_99,233,4.426
hybrid_none,sample_163,29,4.23
hybrid_none,sample_203,410,4.163
hybrid_none,sample_117,158,4.096
hybrid_none,sample_52,119,4.001
hybrid_none,sample_179,330,3.768
hybrid_none,sample_39,285,3.699
hybrid_none,sample_63,23,3.681
hybrid_none,sample_4,92,3.671
hybrid_none,sample_31,152,3.628
hybrid_none,sample_42,282,3.603
hybrid_none,sample_166,84,3.522
hybrid_none,sample_215,53,3.507
hybrid_none,sample_191,153,3.348
hybrid_none,sample_6,206,3.294
hybrid_none,sample_178,145,2.864
hybrid_none,sample_118,604,2.842
hybrid_none,sample_53,71,2.758
hybrid_none,sample_132,133,2.688
hybrid_self_loop,sample_240,657,12.161
hybrid_self_loop,sample_151,298,8.738
hybrid_self_loop,sample_233,439,7.769
hybrid_self_loop,sample_189,292,7.334
hybrid_self_loop,sample_243,365,7.274
hybrid_self_loop,sample_208,189,7.099
hybrid_self_loop,sample_73,70,6.562
